Park,SEP 2019,SEP 2020,DIFF,YTD 2019,YTD 2020,DIFF
Whitman Mission NHS,"5,395","3,831","-1,564","40,385","26,410","-13,975"
William Howard Taft NHS,"3,205","1,082","-2,123","25,508","8,679","-16,829"
Wilson's Creek NB,"27,678","27,678",0,"188,623","199,616","10,993"
Wind Cave NP,"55,196","67,635","12,439","569,705","398,483","-171,222"
Wolf Trap NP for the Performing Arts,"36,991","2,502","-34,489","394,518","20,254","-374,264"
Women's Rights NHP,"3,935","2,201","-1,734","31,469","6,297","-25,172"
World War II Memorial,"417,515","417,515",0,"3,893,450","3,969,237","75,787"
Wrangell-St. Elias NP & PRES,"7,855","3,320","-4,535","73,893","16,030","-57,863"
Wright Brothers NMEM,"27,828","42,019","14,191","341,993","204,873","-137,120"
Wupatki NM,"24,543","24,198",-345,"154,475","108,453","-46,022"
Yellowstone NP,"693,118","837,499","144,381","3,807,815","3,383,872","-423,943"
Yosemite NP,"584,664","33,671","-550,993","3,594,136","1,442,317","-2,151,819"
Yukon-Charley Rivers NPRES,157,88,-69,"1,114",549,-565
Zion NP,"497,443","520,987","23,544","3,656,778","2,484,815","-1,171,963"
